,homicidiesper100k,electricity,Schooling,HIV.AIDS,wateraccess,tuberculosis,inflation,healthexppercapita,fertilityrate,lifeexp,internet,gdppercapita,CO2,forest,urbanpop,urbanpopgrowth,leastdeveloped
Malta,-0.5277064927203623,0.5709312981873775,0.24859807308370813,-0.265315573771463,0.7638084298295799,-0.578573446192188,-0.8923774844738948,1.9594334543017473,-0.9853076266973392,1.5916220245210582,1.0912979379837604,1.3299942214170788,0.17616133009301999,-1.5476857085632636,1.708754947267423,-0.5003544514057952,-0.26037782196164777
Mauritius,-0.5201383157037819,-0.32651261161895406,0.4526590320970444,-0.265315573771463,0.7518591050023484,-0.5719962091075074,-0.09537861289339349,-0.37598412725467945,-0.916274730253909,-0.07472031142189388,-0.2502907136407881,-0.11513370653351009,-0.3462815393401295,-0.5485829026646926,-1.178293565582825,-0.9707407567494638,-0.26037782196164777
Mexico,0.5693570760562223,-0.35673246035260486,-0.36358480395630327,-0.265315573771463,0.29778476156752604,-0.5193783124300628,0.1241779832152075,-0.12119347071332606,0.20620016591626367,0.4682682585255433,-0.26983634513754423,-0.07558844641407812,-0.1628065892126411,0.289937975996468,0.876090155278868,0.04828171361221204,-0.26037782196164777
Mongolia,-0.08921300558950965,-0.3805142006665384,0.5036742718503793,-0.265315573771463,-3.514049858319523,2.1575571810349268,2.3739092250198217,-0.8775537413433814,0.9904138695136292,-1.209544318099838,-1.4260699080783836,-0.666343954689059,0.22183710163827625,-1.1542753806694634,0.2887670018832677,0.4601368622723667,-0.26037782196164777
Morocco,-0.555728158555455,-0.7458972545121579,-0.8737372014896456,-0.265315573771463,-0.9927423197735439,0.006800654344382321,-0.8561914651860305,-0.8066797865173205,0.6369654397232676,0.16182234900782852,0.31708778458918907,-0.7606064237811923,-0.5808140939996994,-0.9034242891953037,-0.14003855434009435,0.26238427277137827,-0.26037782196164777
Myanmar,-0.45613117685757054,-0.9698792694732625,-2.404194394089673,-0.0020890990060745043,-1.5663099114806858,1.7695001930387735,0.40592641872409246,-1.1673670472290323,0.22414871899155533,-1.7532523653189398,-1.824404930481439,-0.9359488265269522,-0.8227010361371943,0.9197847074428227,-1.7998365629112623,-0.20321427339933404,3.840572873934305
Nepal,-0.48589125645654907,-0.9952881717516662,-0.7206914822296425,-0.265315573771463,-0.34747877910300806,0.3817031681711745,1.3154164465376301,-1.1545059616793918,0.17168371769454877,-1.0686301325598362,-1.639010684830448,-0.9870960864118906,-0.8371721261401956,-0.19309505626733525,-2.421759178159715,0.76093506258284,3.840572873934305
Nicaragua,0.018626711971738038,-0.8508429444271428,-1.1288134002563168,-0.265315573771463,-0.8015531225378287,-0.29575225155092366,0.6771929598414032,-0.9001211261429735,0.23519398242250417,0.0716287814558703,-1.5368546719207181,-0.8699546247194954,-0.7301114300191724,-0.1645088645918164,-0.2786533262772276,-0.11695679140484808,-0.26037782196164777
Oman,-0.5839434390983028,1.104080719543329,-0.057493365436298016,-0.265315573771463,-0.024847008767740174,-0.5917279203615491,-0.6971875328645153,0.22559205461115947,0.973845974367206,0.43112973071003147,0.9517793092413054,0.8368934715784832,1.7629691452214733,-1.6083690636562553,0.9385644186871536,2.305599191847824,-0.26037782196164777
Pakistan,-0.09889444496398471,-0.8866609100958697,-3.067392510883018,-0.265315573771463,-0.27578283013961596,1.1183537216553976,0.9933776545353697,-1.1255039999506304,2.103224160181722,-1.7842365085250247,-1.8017035942792765,-0.9307284722109743,-0.7080898123949335,-1.4990438048140053,-1.465284713114636,0.48456587952368957,-0.26037782196164777
