,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17
Indonesia,0.01746002506633862,0.0007932074953226409,0.002464517138685253,1.0252070399616106e-06,0.00018374145559643792,0.0008144087526342756,0.004913859396085643,0.02024907604815477,0.0018335133812141015,0.10908471721566537,0.006498409186985475,0.0211044251401903,0.004954024806020779,0.0005361292277672896,0.0217828314069888,0.028800887626480826,0.011004093557422866
Italy,0.03366241786969485,1.336052001183225e-06,0.014474452708329255,0.0028991264041919895,0.015411816071107943,8.409158355881247e-05,3.0375877472893865e-05,0.033852817777376774,0.08544582078286378,0.010893332567987938,0.005432713094921801,0.014336688197599845,0.01400697741982675,1.1769685104373874e-05,0.013095209454259701,0.0038221769798757396,0.00505676017951635
Jamaica,0.003162238153431606,0.009244927817162713,0.009549431392641116,0.0348392499413585,0.001291541115584581,0.008472495203040135,0.0006924505802795691,0.009194176289594035,0.0062708147739075825,0.01063819993640172,0.019400847081237363,0.00229154961931163,0.03301975892962254,0.00819325310604118,0.008031617884559635,0.012985138298952351,0.04024079975832443
Jordan,0.0008443095983193957,0.01511296732935419,0.07280996248975026,0.006524430833995663,0.028993907379437397,0.01722744565198262,0.006968431417075262,0.004622551253350614,0.04534530511350684,0.003450250397607071,0.023333409097739077,0.0002156741819199136,0.06566857785446399,0.08530582820771396,0.022424855997892772,0.005646286686135615,0.008226306645394033
Kazakhstan,9.722462703201612e-05,0.019136127279059775,0.0027831675400086875,5.0736670382701005e-06,0.05152551519749046,0.00046549731799032525,0.0031216558474165997,0.010242734576589514,0.004842137706594112,0.04089763782106494,0.003202522900492998,0.005704547943871858,0.019711260714766612,0.02548069433355375,0.04878196020780022,0.003147848970522552,0.03373196324069992
Kenya,0.08409490393626541,0.048518921210720954,0.0075054764710418866,0.00016566246336031788,0.008518680136548707,0.07349282366594566,0.009232120101212875,0.009614453867848897,0.10445744339802104,0.0033498636441306774,0.028195317746695172,0.00033117916490725194,0.07677757080847543,0.03022623104675268,0.0019730504512079717,0.006974060365809909,0.005259166040040011
Latvia,0.007285093014423799,0.015094030820224846,0.027520327721996394,0.0024510938043154303,0.000794607659422173,0.0009621581038783272,0.0003223154807504733,0.011724705279823194,0.02095473400065214,0.0006055165175192023,0.006019713695803885,0.007350063445967233,0.0012776224022424771,4.7275272759422474e-05,0.04027489783925945,0.022272459573635255,0.0029164844533982287
Lebanon,0.004643879897742162,0.001098438356087474,0.024242120764804885,0.003239863435667212,0.007872256157178344,0.005487269245546601,0.00044634740617976597,0.002297418696566084,0.04862558713572941,0.00018037585149483984,3.9732726968608294e-07,0.005124776842040932,0.05558321142118029,0.016582673211580322,0.01190508875314725,0.03348531109087611,0.0007270775923796753
Lithuania,0.008325042406652234,0.007178770233480757,0.01867332960065429,0.0008049209342030811,0.003003583294154501,0.007976212588794772,0.0020720897101358777,0.0002233186446560477,0.0008555773285323996,0.017256737050540573,0.011074272047075326,0.002610358479919419,0.0089893226349431,0.00021780963616448843,0.035031967640360685,0.016503721429365417,0.009676841228534988
Malta,0.02782305266543841,0.0026141872942154103,0.002311685980126528,0.004438012062081183,0.0028576380106525357,0.017477021907429963,5.246500535279741e-05,0.062219306847892716,2.6856681715284713e-06,0.0038361769484379924,0.008229575107478215,0.04280857018570071,0.0024126846774398486,0.004831593932496299,0.02771606461589071,0.030777410902816393,0.00015828712165555887
Mauritius,0.0002210357187498015,0.01315166672629349,6.321096219948234e-05,0.007424513299775624,0.024035701839642393,0.0010839127682547587,0.003005789920691596,0.0011058785985717564,0.004986962279962,0.0029913100724893423,0.030200575934937118,0.0007607371816000149,0.0022997668430280458,0.0019086174580796372,0.0034543600897066996,0.052721474098641814,0.001965162272922704
Mexico,5.553251896719811e-05,0.0016974172608909752,0.008393059799311361,0.005229949305153501,0.006234402665702598,0.0004972308256548689,0.002122697462268609,7.141136199449583e-05,0.002903373363958142,0.00020382300435798593,0.00022284573954340042,0.007791305443799737,0.00046664186255647113,0.0006592835965092839,0.01807982080884888,0.000130286316298563,0.017081839772238476
Mongolia,0.025445283572987334,0.02004284641850831,0.0005210489333064866,0.003992268402863943,0.014781064206349417,0.03910480116476108,0.09433518134020291,0.001774439843742322,0.15349139803404896,0.00015087994339857796,0.17631350081129327,0.04969943402630374,0.0037981358333407846,0.0005364137645119431,0.0006658774348541006,0.0002371014476930809,0.0014808844939326184
Morocco,0.0024846729318885336,0.00012123046259803779,0.011495641413183297,0.01421317520716054,0.0029583526866185836,0.02021215963412265,0.0072171543365832395,0.012216955156747337,0.0008021818173958274,0.013234673220350525,0.020203197790332268,0.004376769644424388,0.02036419365258589,0.00046553822699551124,0.005300666218932172,0.01773997283749593,0.010894646811105375
Myanmar,0.05470016337019314,0.0019827766416614244,0.030499195235958076,0.05749576925758575,0.00037503643551254875,0.07791574774832133,0.00010089345713118368,0.026082900187216033,0.007351750748118474,0.003796868629352286,0.13250381197129757,0.007142000562282685,0.00039112737967,0.008357200640992988,0.0032211791818079006,0.004193893619980622,0.00861302630714565
Nepal,0.03386129112011805,0.0025952976293081346,0.005114010276780533,0.08448445067217375,0.004190638691299764,0.085671266814125,0.016820928911782787,0.04933726412739255,0.00044498392945856597,0.01030627605126534,0.011470520536308896,0.02573253609797205,0.0057505299449982904,0.033686095995671635,0.01841288904601981,0.0027200590469250887,0.0002288322526631017
