,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17
China,0.0009745513406783431,0.0008834216413685312,0.18757417381326655,0.28315672157451816,0.027374850506088337,0.007963753993423339,0.06776399231821834,0.07098983042136708,0.00428017350889963,0.013239094527524482,0.008826836981294333,0.1821802046441144,0.09863147251706342,0.01590801432037421,0.015297125160580448,0.007624286725615895,0.007331496005604349
Colombia,0.005761907215716854,0.23583753052772669,0.019244314281289955,0.3770939807218085,0.15863834435449756,0.028492168466272665,0.0011898303108373925,0.00591665742043204,0.04257177817687351,0.00012945339832872745,0.08250924095342968,0.0040893747165724964,0.019952050779085292,1.3781286081571288e-05,0.003851008699789294,0.006592065649493052,0.00811651304176474
Costa Rica,0.09239862030520216,0.18006019155224104,0.020867642560955267,0.03289647089968667,0.2592948834277888,0.02972513983653427,0.11497810218803914,0.014486486681195223,0.04214502070309581,0.10379053295069159,0.015094517872089054,0.01832947276514943,0.04621629921628467,0.0006358438064923179,0.007965184805845318,0.010461213869270947,0.010654376559438494
Croatia,0.6022364514128979,0.1594500112557591,0.08766165265755677,0.041601641394864886,0.003995848834689225,0.0051394010671711446,0.06546441558877064,0.0034889486033446884,0.00027383401712880844,0.005619791453829263,0.006131402859665581,0.0003199862516339471,0.003454758813486289,0.0006871802947313786,0.003100538386752296,0.0072425844497379,0.004131552657979976
Cyprus,0.7315656430157333,4.901911445134656e-05,0.0014534097886617031,0.06897546392856695,0.01567729614686098,0.004352340304826001,0.06694845102313814,0.04461932685961955,0.011477366081825601,0.000911687033521944,0.00013059643693453352,0.03762294818538512,0.015001090944902309,0.000535550295315749,0.0003034431022433485,0.00018872317395678237,0.00018764456405649796
Dominican Republic,0.18476698075276993,0.00448542606822937,0.08437454814637292,0.12504264951803007,0.33362250130165816,0.0034852296300225817,0.015826989084092666,0.09312098456953054,0.016421438712013826,0.009830114896085908,0.08599456190224716,0.003687764492089038,0.02156631351476919,6.40290497738205e-05,0.0009626310064052815,0.0022150683745894963,0.014532768981319926
Ecuador,0.11095825268473854,0.20276700916175142,0.0008797837608227924,0.020534490080605147,0.2470551863617392,7.535926313885425e-05,0.06682365018319612,0.31562543282392613,0.014024165726067435,9.665086014934599e-06,0.011398222271305571,9.772849300004672e-05,0.0005440374308516681,0.0008285882296995399,0.000649267440890268,0.005749453581913002,0.001979707420339353
El Salvador,0.0840170001380586,0.05216032350644411,0.19983477523302867,0.27859281748663356,0.022054194433847773,0.008727896039178874,0.10464062166772667,0.1228087212620931,0.004983892929128387,0.06897245635360874,0.007704229876062817,0.01994342551375112,0.014977594909528295,0.000369978391815201,0.0023998851803174303,0.007090378197142074,0.0007218088816345828
Estonia,0.6625969459371762,0.0018362106232511443,0.16575135765230178,0.01365149702354886,0.017910550903210205,0.021033561479592254,0.008668240987516,0.07254611986219245,0.006687847273933886,0.008359812485182536,0.008431048109912275,2.017777534318778e-06,0.000359335311528607,0.00044438689470575074,0.0032215672992684185,0.0004926243705218023,0.00800687600862341
Georgia,0.03485264599231741,0.5341358601477524,0.021642595128199136,0.002838013786885801,0.10275271939027521,0.005685117326092642,0.011372040628730222,0.06182125342476218,0.10384800413251032,0.038673859219216386,0.008397183613166059,0.006345607713476391,0.03361051742902629,0.026919921771226155,0.004593315924660685,0.0022727601634763,0.0002385842082263716
